0,1,2,3,4
0,1,2,3,4
SE99992001120313:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,12-01-2020,NaN,"33,323.00","39,136.63"
$E99992001-162455:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,16-01-2020,NaN,"3,900.00","22,329.63"
SE99992002031835:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,Q3-02-2020,NaN,"6,778.00","7,615.18"
"$E9999200226H917:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB,",26-02-2020,NaN,"8,000.00","9,239.74"
$E99992003081105:-SCBL-STS-EXPOLANKA-FREIGHT-DUB.,08-03-2020,NaN,"9,600.00","11,972.09"
"$E99992003124343:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB,",12-03-2020,NaN,"13,897.50","20,918-48"
$E99992003162011:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB.,16-03-2020,NaN,"9,600.00","13,743.48"
$E99992003180109:-SCBL-TCP-EXPOLANKA-FREIGHT-DUBA,18-03-2020,NaN,"9,600.00","12,591.24"
"SE99992004152629:-SCBL-TCP-EXPOLANKA-FREIGHT-DUB,",15-04-2020,NaN,"51,182.00","59,565-65"
